Path,Count
"(('Y01', 'Y02'),)",10
"(('Y11', 'Y15'),)",10
"(('Y06', 'Y02'), ('Y07', 'Y06'), ('Y11', 'Y07'))",10
"(('Y07', 'Y03'), ('Y11', 'Y07'))",10
"(('Y07', 'Y08'), ('Y08', 'Y04'), ('Y11', 'Y07'))",10
"(('Y09', 'Y05'), ('Y10', 'Y09'), ('Y11', 'Y10'))",10
"(('Y07', 'Y06'), ('Y11', 'Y07'))",10
"(('Y11', 'Y07'),)",10
"(('Y07', 'Y08'), ('Y11', 'Y07'))",10
"(('Y10', 'Y09'), ('Y11', 'Y10'))",10
"(('Y11', 'Y10'),)",10
"(('Y11', 'Y12'),)",10
"(('Y09', 'Y13'), ('Y10', 'Y09'), ('Y11', 'Y10'))",10
"(('Y10', 'Y14'), ('Y11', 'Y10'))",10
"(('Y11', 'Y12'), ('Y12', 'Y16'))",10
"(('Y10', 'Y11'), ('Y11', 'Y12'), ('Y12', 'Y16'))",10
"(('Y05', 'Y01'), ('Y09', 'Y05'), ('Y10', 'Y09'), ('Y11', 'Y10'), ('Y12', 'Y11'))",10
"(('Y06', 'Y02'), ('Y07', 'Y06'), ('Y11', 'Y07'), ('Y12', 'Y11'))",10
"(('Y07', 'Y03'), ('Y11', 'Y07'), ('Y12', 'Y11'))",10
"(('Y08', 'Y04'), ('Y12', 'Y08'))",10
"(('Y09', 'Y05'), ('Y10', 'Y09'), ('Y11', 'Y10'), ('Y12', 'Y11'))",10
"(('Y07', 'Y06'), ('Y11', 'Y07'), ('Y12', 'Y11'))",10
"(('Y11', 'Y07'), ('Y12', 'Y11'))",10
"(('Y12', 'Y08'),)",10
"(('Y10', 'Y09'), ('Y11', 'Y10'), ('Y12', 'Y11'))",10
"(('Y11', 'Y10'), ('Y12', 'Y11'))",10
"(('Y12', 'Y11'),)",10
"(('Y09', 'Y13'), ('Y10', 'Y09'), ('Y11', 'Y10'), ('Y12', 'Y11'))",10
"(('Y05', 'Y01'), ('Y09', 'Y05'), ('Y10', 'Y09'), ('Y11', 'Y10'))",10
"(('Y10', 'Y11'), ('Y11', 'Y15'))",10
"(('Y11', 'Y15'), ('Y12', 'Y11'))",10
"(('Y09', 'Y10'), ('Y10', 'Y11'), ('Y11', 'Y15'))",10
"(('Y06', 'Y02'), ('Y09', 'Y10'), ('Y10', 'Y06'))",10
"(('Y02', 'Y03'), ('Y06', 'Y02'), ('Y09', 'Y10'), ('Y10', 'Y06'))",10
"(('Y07', 'Y08'), ('Y08', 'Y04'), ('Y09', 'Y10'), ('Y10', 'Y11'), ('Y11', 'Y07'))",10
"(('Y09', 'Y05'),)",10
"(('Y09', 'Y10'), ('Y10', 'Y06'))",10
"(('Y09', 'Y10'), ('Y10', 'Y11'), ('Y11', 'Y07'))",10
